API 10/UWI,District,Filed Date,Approved Date,Expired Date,State/Province,County/Parish,Operator Alias (Legacy),Lease Name,Well Number,Formation,Permit Depth,True Vertical Depth,Permit Type,Well Type,Drill Type,Well Status,Permit Status,Field,Operator (Reported),Amended Date,Contact Name,Contact Phone,Operator Address,Operator City,Operator State,Operator Zip,Operator City 30mi,Section,Operator City 50mi,Township,Range,Block,Survey,True Vertical Depth UOM,Abstract,WGID,H2S Area,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),OFS Region,Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84),Lease Number,Permit Depth UOM,Permit Number,DI Basin,DI Play,DI Subplay,Operator Company Name,Operator Ticker
3000564345,SE,,2019-12-13,2021-12-02,NM,CHAVES (NM),MAGNUM PROD,THE PEGGY FEDERAL,113,SAN ANDRES,2400,2400,NewDrill,OIL,V,PERMITTED,Active,RACE TRACK,"MAGNUM PRODUCING, LP",,MATT GIROUX,405-289-9326,500 N. SHORELINE BLVD,CORPUS CHRISTI,TX,78401,,13,,09S,27E,,,ft,,19309319,,33.5361994,-104.1404884,PERMIAN BASIN,33.5361994,-104.1404884,326731,ft,TEMP86977488,NORTHWEST SHELF,NORTHWEST SHELF,,"MAGNUM PRODUCING, LP",
4245730898,3,2019-10-03,2019-10-08,2021-10-08,TX,TYLER (TX),MAGNUM PROD,BIG THICKET,1,"COCKFIELD,WILCOX,WILCOX 2-A,WILCOX 4-B,WILCOX 5,WILCOX G SAND,YEGUA",11800,11800,NewDrill,OIL & GAS,V,PERMITTED,Active,"HICKSBAUGH,THEUVENINS CREEK,WILDCAT","MAGNUM PRODUCING, LP",,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,,,,,,"BROWN, W S",ft,62,19299960,false,30.5562697,-94.3410917,GULF COAST,30.5562697,-94.3410917,,ft,857731,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4203933345,3,2019-07-03,2019-07-05,2021-07-05,TX,BRAZORIA (TX),MAGNUM PROD,DUCROZ,1,WILDCAT,11700,11700,NewDrill,OIL & GAS,V,SHUT-IN,Active,WILDCAT,"MAGNUM PRODUCING, LP",,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,65,,,,,"DILLARD, N",ft,60,19286910,false,28.9020963,-95.6000868,GULF COAST,28.9020963,-95.6000868,27788,ft,854812,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4232132426,3,2019-06-25,2019-06-26,2021-06-26,TX,MATAGORDA (TX),MAGNUM PROD,TRULL,1,WILDCAT,9000,9000,NewDrill,OIL & GAS,V,DRILLED,Active,WILDCAT,"MAGNUM PRODUCING, LP",,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,,,,,,"PERKINS, S",ft,371,19286199,false,28.7749639,-96.2590010,GULF COAST,28.7749639,-96.2590010,,ft,854558,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4246934444,2,2019-05-23,2019-05-24,2021-05-24,TX,VICTORIA (TX),MAGNUM PROD,SPACEK UNIT,1,WILDCAT,9800,9800,NewDrill,OIL & GAS,V,INACTIVE,Active,WILDCAT,"MAGNUM PRODUCING, LP",,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,,,,,,DAVID HINES,ft,175,19280561,false,29.0825837,-96.9829479,GULF COAST,29.0825837,-96.9829479,290069,ft,853438,GULF COAST WEST,,,"MAGNUM PRODUCING, LP",
1707920545,5,2018-08-20,2018-08-22,2019-02-18,LA,RAPIDES (LA),MAGNUM PROD,GORDON HOLDINGS LLC,001,"6800 WILCOX, 6500 WILCOX, 6200 WILCOX",7000,7000,NewDrill,OIL,V,P & A,Expired,WILDCAT-NO LA MONROE DIST,"MAGNUM PRODUCING, L.P.",,AVINASH C. AHUJA,361-826-0105,500 N. SHORELINE SUITE 322,CORPUS CHRSTI,TX,78401,,06,,01N,02W,,,ft,,19104823,,31.0881946,-92.6039394,ARKLATEX,31.0882006,-92.6039690,,ft,251222,GULF COAST EAST,TUSCALOOSA MARINE SHALE,,"MAGNUM PRODUCING, LP",
4203933328,3,2018-07-31,2018-08-01,2020-08-01,TX,BRAZORIA (TX),MAGNUM PROD,POOLE,1,,12000,12000,NewDrill,OIL & GAS,V,P & A,Expired,"ALLEN DOME,WILDCAT","MAGNUM PRODUCING, LP",,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,64,,,,,"ALLEY, W & T",ft,2,19102997,false,28.9281623,-95.5604523,GULF COAST,28.9281623,-95.5604523,,ft,843042,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4203933320,3,2018-04-19,2018-04-24,2020-04-24,TX,BRAZORIA (TX),MAGNUM PROD,MASTERSON,1,DAMON MOUND,2600,2600,NewDrill,OIL & GAS,V,INACTIVE,Expired,DAMON MOUND,"MAGNUM PRODUCING, LP",,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,,,,,,"DARST, A",ft,61,18998091,true,29.2816764,-95.7576437,GULF COAST,29.2816764,-95.7576437,27569,ft,839070,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4208932751,3,2018-04-12,2018-04-16,2020-04-16,TX,COLORADO (TX),MAGNUM PROD,YATES UNIT,1,WILCOX,9500,9500,NewDrill,OIL & GAS,V,P & A,Expired,"DUBINA, SOUTH,WILDCAT","MAGNUM PRODUCING, LP",2018-07-11,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,,,,,,"TINKLER, J",,560,18997243,,29.6637971,-96.8040748,GULF COAST,29.6637971,-96.8040748,,ft,838834,GULF COAST CENTRAL,EAGLEBINE,,"MAGNUM PRODUCING, LP",
4245730889,3,2018-01-23,2018-01-30,2020-01-30,TX,TYLER (TX),MAGNUM PROD,BLACK STONE MINERALS,4,"WILCOX 10,WILCOX 6",9950,9864,NewDrill,GAS,D,INACTIVE,Expired,ELIJAH GREEN,"MAGNUM PRODUCING, LP",2018-07-11,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,,,,,,"GREEN, E",ft,298,18989740,,30.5310003,-94.2544489,GULF COAST,30.5274420,-94.2551630,27418,ft,835557,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4224532864,3,2018-01-04,2018-01-09,2020-01-09,TX,JEFFERSON (TX),MAGNUM PROD,MCLEAN UNIT 4,4,HACKBERRY SAND,9300,9300,NewDrill,OIL,V,INACTIVE,Expired,BIG HILL,"MAGNUM PRODUCING, LP",2019-06-10,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,373,,,,,EL&RR RR CO,,551,18987707,true,29.7557764,-94.2594714,GULF COAST,29.7557764,-94.2594714,27819,ft,834804,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4232132415,3,2017-10-17,2017-10-19,2019-10-19,TX,MATAGORDA (TX),MAGNUM PROD,ROBESON,1,"FRIO -C-,FRIO -D-,MELBOURN E-3 SEG C",8800,8800,NewDrill,OIL & GAS,V,INACTIVE,Expired,"PALACIOS,WILDCAT","MAGNUM PRODUCING, LP",2018-05-02,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,,,,,,"GOODWIN, L",ft,162,18979845,,28.7354867,-96.2283754,GULF COAST,28.7354867,-96.2283754,285001,ft,832082,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
4224532858,3,2017-06-30,2017-07-07,2019-07-07,TX,JEFFERSON (TX),MAGNUM PROD,MCLEAN UNIT 3,3,"DISCORBIS B,HETEROSTEGINA,MARGINULINA,MIOCENE SIPHONINA",6810,6810,NewDrill,OIL & GAS,V,INACTIVE,Expired,"BIG HILL,WILDCAT","MAGNUM PRODUCING, LP",2017-10-30,KEN AHUJA,3618823858,500 N SHORELINE BLVD STE 322,CORPUS CHRSTI,TX,78401,,373,,,,,EL&RR RR CO,ft,551,18968081,true,29.7558957,-94.2565418,GULF COAST,29.7558957,-94.2565418,27348,ft,828439,GULF COAST CENTRAL,,,"MAGNUM PRODUCING, LP",
