API/UWI,Operator Alias (Legacy),Well/Lease Name,Well Number,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,Measured Depth (TD),Spud Date,First Prod Date,Last Prod Date,Months Produced,Cum Gas,Daily Gas,Cum Oil,Daily Oil,Latest Oil,Latest Gas,Cum Water,Cum BOE,DI Subplay,First Month Oil,First Month Gas,First 6 Oil,DI Basin,First 6 Gas,First 6 BOE,First 6 Water,DI Play,Prac IP Oil Daily,Prac IP BOE,Prac IP Gas Daily,Prac IP CFGED,Latest Water,Prior 12 Oil,Prior 12 Gas,Last Test Date,Prior 12 Water,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Gas Gatherer,Oil Gatherer,Lease Number,Gross Perforated Interval,True Vertical Depth,Field,State,District,AAPG Geologic Province,Section,Country,Township,Range,Surface Latitude (WGS84),Abstract,Surface Longitude (WGS84),Block,OCS Area,PGC Area,Operator (Reported),Survey,Entity ID,Last 12 Oil,Last 12 Gas,Last 12 Water,Other No.
42469344440000,"MAGNUM PRODUCING, LP",SPACEK UNIT,1,VICTORIA (TX),MIDDLE WILCOX,GAS,INACTIVE,V,9500.00000,2019-06-19,,,,,,,,,,,,,,,,GULF COAST WEST,,,,,,,,,,,,2020-11-19,,3451.0000,4600.0000,,,,,,,,,,,,,,,9270.00000,9312.00000,0.660000,46.000000,2020-02-23,1,,"MAGNUM PRODUCING, LP","GULFMARK ENERGY, INC.",290069,42.00,,HELEN GOHLKE,TX,02,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,29.0825837,175,-96.9829479,,,P-330,"MAGNUM PRODUCING, LP","HINES, D",130836314,,,,0
42245328640000,"MAGNUM PRODUCING, LP",MCLEAN UNIT 4,4,JEFFERSON (TX),HETEROSTEGINA - DISPOSAL,OIL,ACTIVE,V,8560.00000,2018-05-08,2020-06-01,2020-12-01,7,,,10822.0000,51,1566,,0.0000,10822.0000,,1618,,9256.0000,GULF COAST CENTRAL,0.0000,9256.0000,0.0000,,59.0000,59.0000,0.0000,353806.0000,0,,,2020-10-27,,,,0.00,,0.00,,,,,,1828.0000,2,1828.0000,2,11.0000,2,5961.00000,6044.00000,,30.500000,2019-06-29,1,1,"MAGNUM PRODUCING, LP","GULFMARK ENERGY, INC.",27819,83.00,,BIG HILL,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,373,USA,,,29.7557764,551,-94.2594714,,,P-330,"MAGNUM PRODUCING, LP",EL&RR RR CO,130833332,10822.0000,,0.0000,0
42039333450000,"MAGNUM PRODUCING, LP",DUCROZ,1,BRAZORIA (TX),TOP OF FRIO,OIL,INACTIVE,V,11100.00000,2019-10-16,,,,,,,,,,,,,,,,GULF COAST CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-11,1,,,,27788,,,WILDCAT,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,65,USA,,,28.9020963,60,-95.6000868,,,P-330,"MAGNUM PRODUCING, LP","DILLARD, N",130819038,,,,0
42321324010000,"MAGNUM PRODUCING, LP",ANDERSON,3,MATAGORDA (TX),HUEBNER,OIL,ACTIVE,D,10600.00000,2017-03-08,2020-01-01,2020-10-01,7,19409.0000,89,857.0000,4,2,,171.0000,4092.0000,,197,3206.0000,687.0000,GULF COAST CENTRAL,19409.0000,3922.0000,138.0000,,7.0000,33.0000,159.0000,198448.0000,0,,,2020-01-22,,,,23820.00,22647.6080,22650.00,44.1550,42.0000,,6151.0000,4,197.0000,1,1169.0000,4,7.0000,4,8781.00000,8950.00000,,40.000000,2020-01-09,1,1,"MAGNUM PRODUCING, LP","GULFMARK ENERGY, INC.",27736,169.00,,"LUCKY, EAST",TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,28.9637099,45,-95.9750247,,,P-330,"MAGNUM PRODUCING, LP","HALL, E",130785484,857.0000,19409.0000,171.0000,0
0,"MAGNUM PRODUCING, LP",LA LUW 801958,,(N/A) (LA),,OIL,INACTIVE,U,,,2010-11-01,2012-01-01,2,,,322.0000,,119,,0.0000,322.0000,,203,,203.0000,,0.0000,203.0000,0.0000,,4.0000,4.0000,0.0000,23032.0000,0,203,,,0,,,,,0.00,,0.0000,,,,203.0000,1,203.0000,1,1.0000,1,,,,,,1,1,"GULF SOUTH PIPELINE COMPANY, LP","L & L TRANSPORTATION, LLC",,,,"OAKLEY, NORTHWEST",LA,,,,USA,,,,,,,,,"MAGNUM PRODUCING, L.P.",,130769684,119.0000,,0.0000,801958
42245328640000,"MAGNUM PRODUCING, LP",MCLEAN,4,JEFFERSON (TX),HACKBERRY SAND,OIL,INACTIVE,V,8560.00000,2018-05-08,2019-07-01,2020-04-01,10,22239.0000,13,14221.0000,63,1168,18.0000,0.0000,17927.0000,,938,10397.0000,6285.0000,GULF COAST CENTRAL,20314.0000,9671.0000,0.0000,,4.0000,40.0000,220.0000,242097.0000,0,,,,,,,58700.00,1563.8140,1560.00,639.4620,17.0000,64888.9000,10397.0000,1,2381.0000,5,2671.0000,1,16.0000,1,5961.00000,6044.00000,,27.700000,2019-06-29,1,1,,PHILLIPS 66 COMPANY,27617,83.00,,BIG HILL,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,,USA,,,29.7557764,,-94.2594714,,,P-330,"MAGNUM PRODUCING, LP",,130754877,14221.0000,22239.0000,0.0000,0
30005643450000,"MAGNUM PRODUCING, LP",THE PEGGY FEDERAL,113,CHAVES (NM),SAN ANDRES,OIL,APPLICATION FOR PERMIT TO DRILL,V,2100.00000,,,,,,,,,,,,,,,,,NORTHWEST SHELF,,,,NORTHWEST SHELF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,326731,,,RACE TRACK,NM,,PERMIAN BASIN,13,USA,09S,27E,33.5361994,,-104.1404884,,,P-440,"MAGNUM PRODUCING, LP",,130663347,,,,0
42481017440000,"MAGNUM PRODUCING, LP","LANCASTER, W. H.",5,WHARTON (TX),GRETA,GAS,ACTIVE,V,7204.00000,1901-01-01,2019-05-01,2020-12-01,20,71639.0000,130,222.0000,0,8,4746.0000,0.0000,12162.0000,,,1965.0000,36.0000,GULF COAST CENTRAL,16315.0000,2755.0000,0.0000,,0.0000,23.0000,133.0000,135200.0000,0,60,24797,2019-05-28,0,1455.0000,2015.0000,399600.00,289148.1480,322700.00,3.4580,2.5000,1.7000,4746.0000,20,23.0000,9,800.0000,7,5.0000,7,6133.00000,6141.00000,0.640000,,2019-05-18,1,1,"MAGNUM PRODUCING, LP","GULFMARK ENERGY, INC.",287522,8.00,,LOUISE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,23,USA,,,29.0607308,287,-96.3866910,,,P-330,"MAGNUM PRODUCING, LP",M&C,130661963,162.0000,46842.0000,0.0000,0
42199335230000,"MAGNUM PRODUCING, LP",TICONDEROGA B,1,HARDIN (TX),YEGUA 3,GAS,INACTIVE,H,13205.00000,2015-05-03,,,,,,,,,,,,,,,,GULF COAST CENTRAL,,,,,,,,,,,,2019-06-07,,1880.0000,2200.0000,,,,,,,,,,,,,,,6607.00000,6631.00000,0.680000,53.300000,2019-05-21,1,,"MAGNUM PRODUCING, LP",SHELL TRADING (US) COMPANY,287418,24.00,,KARLGORE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,185,USA,,,30.4947278,298,-94.1761423,1,,P-330,"MAGNUM PRODUCING, LP",H&TC RR CO,130656751,,,,0
42481017780000,"MAGNUM PRODUCING, LP","MCINTYRE, WILLIS",1,WHARTON (TX),YEGUA - DISPOSAL,OIL,INACTIVE,V,6467.00000,,2019-05-01,2020-08-01,11,2016.0000,4,5099.0000,9,85,,633874.0000,5435.0000,,2415,884.0000,3263.0000,GULF COAST CENTRAL,1008.0000,3431.0000,405635.0000,,27.0000,28.0000,4.0000,167533.0000,10567,3263,1008,2019-05-09,405635,,,150.00,549.0200,400.00,1821.4290,6588.7000,,884.0000,1,2415.0000,1,2562.0000,1,15.0000,1,5993.00000,5999.00000,,40.000000,1988-06-16,1,1,"MAGNUM PRODUCING, LP","GULFMARK ENERGY, INC.",27533,6.00,,LOUISE,TX,03,TEXAS & LOUISIANA GULF COAST BASIN,25,USA,,,29.0677096,288,-96.3802340,,,P-330,"MAGNUM PRODUCING, LP",M&C,130525893,1836.0000,1008.0000,228239.0000,0
